WrWx_ID|Material|Plant|Manuf|Product Description|Manufacturer Material ID|Category|Product Type|Product Attributes
19030-PJU-MEC-00161|PJU-MEC-00161|0JU0|SKF|Bearing SKF 607|607|Bearing|Deep groove ball bearings|Bore diameter: 7.0 mm, Outside diameter: 19.0 mm, Width: 6.0 mm, Basic dynamic load rating: 2.34 kN, Basic static load rating: 0.95 kN
12865-PGZ-POW-00920|PGZ-POW-00920|0GZ0|SKF|Bearing SKF 608|608|Bearing|Deep groove ball bearings|Bore diameter: 8.0 mm, Outside diameter: 22.0 mm, Width: 7.0 mm, Basic dynamic load rating: 3.45 kN, Basic static load rating: 1.37 kN
26881-PNF-1002503|PNF-1002503|0NF0|SKF|Bearing SKF 624|624|Bearing|Deep groove ball bearings|Bore diameter: 4.0 mm, Outside diameter: 13.0 mm, Width: 5.0 mm, Basic dynamic load rating: 0.936 kN, Basic static load rating: 0.29 kN
71466-PRX-BEAR131|PRX-BEAR131|0RX0|SKF|Bearing SKF 625|625|Bearing|Deep groove ball bearings|Bore diameter: 5.0 mm, Outside diameter: 16.0 mm, Width: 5.0 mm, Basic dynamic load rating: 1.14 kN, Basic static load rating: 0.38 kN
51061-PHU-POW-01620|PHU-POW-01620|0J40|SKF|Bearing SKF 626|626|Bearing|Deep groove ball bearings|Bore diameter: 6.0 mm, Outside diameter: 19.0 mm, Width: 6.0 mm, Basic dynamic load rating: 2.34 kN, Basic static load rating: 0.95 kN
4033-CMI-M11A78|CMI-M11A78|0SG0|SKF|Bearing SKF 629|629|Bearing|Deep groove ball bearings|Bore diameter: 9.0 mm, Outside diameter: 26.0 mm, Width: 8.0 mm, Basic dynamic load rating: 4.75 kN, Basic static load rating: 1.96 kN
71162-CJL-10004632|CJL-10004632|0RU0|SKF|Bearing SKF 35|635|Bearing|Deep groove ball bearings|Bore diameter: 5.0 mm, Outside diameter: 19.0 mm, Width: 6.0 mm, Basic dynamic load rating: 2.34 kN, Basic static load rating: 0.95 kN
28361-805548|805548|220|SKF|Bearing SKF 1215|1215|Bearing|Self-aligning ball bearings|Bore diameter: 75.0 mm, Outside diameter: 130.0 mm, Width: 25.0 mm, Basic dynamic load rating: 39.0 kN, Basic static load rating: 15.6 kN
539-CBE-5211101943|CBE-5211101943|0JQ0|SKF|Bearing SKF 1216|1216|Bearing|Self-aligning ball bearings|Bore diameter: 80.0 mm, Outside diameter: 140.0 mm, Width: 26.0 mm, Basic dynamic load rating: 39.7 kN, Basic static load rating: 17.0 kN
24776-836748|836748|220|SKF|Bearing SKF 1217|1217|Bearing|Self-aligning ball bearings|Bore diameter: 85.0 mm, Outside diameter: 150.0 mm, Width: 28.0 mm, Basic dynamic load rating: 48.8 kN, Basic static load rating: 20.8 kN
30509-5671-05-20-0194|5671-05-20-0194|440|SKF|Bearing SKF 1314|1314|Bearing|Self-aligning ball bearings|Bore diameter: 70.0 mm, Outside diameter: 150.0 mm, Width: 35.0 mm, Basic dynamic load rating: 74.1 kN, Basic static load rating: 27.5 kN
27602-PNF-1002515|PNF-1002515|0NF0|SKF|Bearing SKF 2214|2214|Bearing|Self-aligning ball bearings|Bore diameter: 70.0 mm, Outside diameter: 125.0 mm, Width: 31.0 mm, Basic dynamic load rating: 44.2 kN, Basic static load rating: 17.0 kN
20695-805594|805594|0N20|SKF|Bearing SKF 2218|2218|Bearing|Self-aligning ball bearings|Bore diameter: 90.0 mm, Outside diameter: 160.0 mm, Width: 40.0 mm, Basic dynamic load rating: 70.2 kN, Basic static load rating: 28.5 kN
20574-PD4-POW-08870|PD4-POW-08870|0D40|SKF|Bearing SKF 2302|2302|Bearing|Self-aligning ball bearings|Bore diameter: 15.0 mm, Outside diameter: 42.0 mm, Width: 17.0 mm, Basic dynamic load rating: 11.9 kN, Basic static load rating: 2.9 kN
32855-GBS-BRGS10034|GBS-BRGS10034|660|SKF|Bearing SKF 2306|2306|Bearing|Self-aligning ball bearings|Bore diameter: 30.0 mm, Outside diameter: 72.0 mm, Width: 27.0 mm, Basic dynamic load rating: 31.2 kN, Basic static load rating: 8.8 kN
23995-805600|805600|220|SKF|Bearing SKF 2310|2310|Bearing|Self-aligning ball bearings|Bore diameter: 50.0 mm, Outside diameter: 110.0 mm, Width: 40.0 mm, Basic dynamic load rating: 63.7 kN, Basic static load rating: 20.0 kN
60384-CNC-454298|CNC-454298|0NC0|SKF|Bearing SKF 2311|2311|Bearing|Self-aligning ball bearings|Bore diameter: 55.0 mm, Outside diameter: 120.0 mm, Width: 43.0 mm, Basic dynamic load rating: 76.1 kN, Basic static load rating: 24.0 kN
17688-NF781364|NF781364|720|SKF|Bearing SKF 6000|6000|Bearing|Deep groove ball bearings|Bore diameter: 10.0 mm, Outside diameter: 26.0 mm, Width: 8.0 mm, Basic dynamic load rating: 4.75 kN, Basic static load rating: 1.96 kN
17747-CSZ-80033760|CSZ-80033760|0SZ0|SKF|Bearing SKF 6001|6001|Bearing|Deep groove ball bearings|Bore diameter: 12.0 mm, Outside diameter: 28.0 mm, Width: 8.0 mm, Basic dynamic load rating: 5.4 kN, Basic static load rating: 2.36 kN
44778-CSA-13010010|CSA-13010010|0G10|SKF|Bearing SKF 6002|6002|Bearing|Deep groove ball bearings|Bore diameter: 15.0 mm, Outside diameter: 32.0 mm, Width: 9.0 mm, Basic dynamic load rating: 5.85 kN, Basic static load rating: 2.85 kN
75339-PTX-1196|PTX-1196|0TX0|SKF|Bearing SKF 16006|16006|Bearing|Deep groove ball bearings|Bore diameter: 30.0 mm, Outside diameter: 55.0 mm, Width: 9.0 mm, Basic dynamic load rating: 11.9 kN, Basic static load rating: 7.35 kN
55167-PKG-ME0050115|PKG-ME0050115|0KG0|SKF|Bearing SKF 16007|16007|Bearing|Deep groove ball bearings|Bore diameter: 35.0 mm, Outside diameter: 62.0 mm, Width: 9.0 mm, Basic dynamic load rating: 13.0 kN, Basic static load rating: 8.15 kN
61614-PNF-1000076|PNF-1000076|0NF0|SKF|Bearing SKF 16015|16015|Bearing|Deep groove ball bearings|Bore diameter: 75.0 mm, Outside diameter: 115.0 mm, Width: 13.0 mm, Basic dynamic load rating: 30.2 kN, Basic static load rating: 27.0 kN
8493-PNF-1000231|PNF-1000231|0NF0|SKF|Bearing SKF 16016|16016|Bearing|Deep groove ball bearings|Bore diameter: 80.0 mm, Outside diameter: 125.0 mm, Width: 14.0 mm, Basic dynamic load rating: 35.1 kN, Basic static load rating: 31.5 kN
45437-PG7-05100263|PG7-05100263|0G70|SKF|Bearing SKF 33210|33210|Bearing|Tapered roller bearings, single row|Bore diameter: 50.0 mm, Outside diameter: 90.0 mm, Total bearing width: 32.0 mm, Basic dynamic load rating: 142.0 kN, Basic static load rating: 160.0 kN
46054-CJL-77045244|CJL-77045244|0G80|SKF|Bearing SKF 51105|51105|Bearing|Thrust ball bearings, single direction|Bore diameter: 25.0 mm, Outside diameter: 42.0 mm, Height: 11.0 mm, Basic dynamic load rating: 18.2 kN, Basic static load rating: 39.0 kN
20472-PD4-POW-06960|PD4-POW-06960|0D40|SKF|Bearing SKF 51305|51305|Bearing|Thrust ball bearings, single direction|Bore diameter: 25.0 mm, Outside diameter: 52.0 mm, Height: 18.0 mm, Basic dynamic load rating: 34.5 kN, Basic static load rating: 60.0 kN
